COVID19 статистике,2020-03-25
COVID-19 статистике | Заражено укупно
Ранк,Територија,Вредност
1,Град Београд,173.0
2,Ваљево,46.0
3,Град Ниш,37.0
4,Ћуприја,25.0
5,Нови Сад ,15.0
6,Крушевац,11.0
7,Чачак,10.0
7,Крагујевац,10.0
9,Врање,6.0
9,Кикинда,6.0
11,Лесковац ,3.0
11,Ужице,3.0
11,Рашка,3.0
11,Аранђеловац,3.0
11,Зрењанин,3.0
11,Пирот,3.0
17,Зајечар,2.0
17,Панчево,2.0
17,Сјеница,2.0
17,Пожаревац,2.0
17,Лучани,2.0
22,Сремска Митровица,1.0
22,Стара Пазова,1.0
22,Суботица,1.0
22,Темерин,1.0
22,Бачка Топола,1.0
22,Врњачка Бања,1.0
22,Сурдулица,1.0
22,Велика Плана,1.0
22,Параћин,1.0
22,Велико Градиште,1.0
22,Горњи Милановац,1.0
22,Бела Паланка,1.0
22,Димитровград,1.0
22,Краљево,1.0
22,Сомбор,1.0
22,Свилајнац,1.0
22,Сремски Карловци,1.0
39,Љубовија,0.0
39,Мајданпек,0.0
39,Мали Зворник,0.0
39,Мало Црниће,0.0
39,Медвеђа,0.0
39,Мерошина,0.0
39,Мионица,0.0
39,Неготин,0.0
39,Нова Варош,0.0
39,Нови Пазар,0.0
39,Осечина,0.0
39,Петровац на Млави,0.0
39,Пожега,0.0
39,Прешево,0.0
39,Прибој,0.0
39,Пријепоље,0.0
39,Прокупље,0.0
39,Ражањ,0.0
39,Рача,0.0
39,Рековац,0.0
39,Јагодина,0.0
39,Сврљиг,0.0
39,Смедерево,0.0
39,Смедеревска Паланка,0.0
39,Сокобања,0.0
39,Топола,0.0
39,Трговиште,0.0
39,Трстеник,0.0
39,Тутин,0.0
39,Ћићевац,0.0
39,Уб,0.0
39,Црна Трава,0.0
39,Чајетина,0.0
39,Шабац,0.0
39,Лапово,0.0
39,Костолац,0.0
39,Врањска Бања,0.0
39,Севојно,0.0
39,Ада,0.0
39,Алибунар,0.0
39,Апатин,0.0
39,Бач,0.0
39,Бачка Паланка,0.0
39,Бачки Петровац,0.0
39,Бела Црква,0.0
39,Беочин,0.0
39,Бечеј,0.0
39,Вршац,0.0
39,Жабаљ,0.0
39,Житиште,0.0
39,Инђија,0.0
39,Ириг,0.0
39,Кањижа,0.0
39,Ковачица,0.0
39,Ковин,0.0
39,Кула,0.0
39,Мали Иђош,0.0
39,Нова Црња,0.0
39,Нови Бечеј,0.0
39,Нови Кнежевац,0.0
39,Опово,0.0
39,Оџаци,0.0
39,Пећинци,0.0
39,Пландиште,0.0
39,Рума,0.0
39,Сента,0.0
39,Сечањ,0.0
39,Србобран,0.0
39,Тител,0.0
39,Врбас,0.0
39,Чока,0.0
39,Шид,0.0
39,Петроварадин,0.0
39,Витина,0.0
39,Вучитрн,0.0
39,Глоговац,0.0
39,Гњилане,0.0
39,Дечани,0.0
39,Ђаковица,0.0
39,Зубин Поток,0.0
39,Исток,0.0
39,Качаник,0.0
39,Клина,0.0
39,Косово Поље,0.0
39,Косовска Каменица,0.0
39,Лепосавић,0.0
39,Липљан,0.0
39,Ново Брдо,0.0
39,Обилић,0.0
39,Ораховац,0.0
39,Пећ,0.0
39,Подујево,0.0
39,Призрен,0.0
39,Приштина,0.0
39,Србица,0.0
39,Сува Река,0.0
39,Косовска Митровица,0.0
39,Урошевац,0.0
39,Штимље,0.0
39,Штрпце,0.0
39,Гора,0.0
39,Александровац,0.0
39,Звечан,0.0
39,Алексинац,0.0
39,Ариље,0.0
39,Бабушница,0.0
39,Бајина Башта,0.0
39,Баточина,0.0
39,Блаце,0.0
39,Богатић,0.0
39,Бојник,0.0
39,Бољевац,0.0
39,Бор,0.0
39,Босилеград,0.0
39,Брус,0.0
39,Бујановац,0.0
39,Варварин,0.0
39,Владимирци,0.0
39,Владичин Хан,0.0
39,Власотинце,0.0
39,Гаџин Хан,0.0
39,Голубац,0.0
39,Деспотовац,0.0
39,Дољевац,0.0
39,Жабари,0.0
39,Жагубица,0.0
39,Житорађа,0.0
39,Ивањица,0.0
39,Кладово,0.0
39,Кнић,0.0
39,Књажевац,0.0
39,Косјерић,0.0
39,Коцељева,0.0
39,Крупањ,0.0
39,Куршумлија,0.0
39,Кучево,0.0
39,Лајковац,0.0
39,Лебане,0.0
39,Лозница,0.0
39,Љиг,0.0
